;#;FORM;LEMMA;GRAM;COMMENT;CHECKED;CONTEXT;RIGHT1;RIGHT2;RIGHT3;RIGHT4;RIGHT5;RIGHT6;POS;AUTO_LEMMA;AUTO_GRAM;
22169;;скромно;СКРОМНО;ADV -;;;, одетые очень _скромно_ , в спортивный;о;н;м;о;р;к;ADV;СКРОМНО;ADV -;О
22170;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
22171;;в;В;PR;;;очень скромно , _в_ спортивный стиль зачастую;в;;;;;;PR;В;PR;В
22172;;спортивный;СПОРТИВНЫЙ;A - acc sg plen m inan;;;скромно , в _спортивный_ стиль зачастую .;й;ы;н;в;и;т;A;СПОРТИВНЫЙ;A - acc sg plen m inan;Й
22173;;стиль;СТИЛЬ;S m inan acc sg;;;, в спортивный _стиль_ зачастую . ;ь;л;и;т;с;;S;СТИЛЬ;S m inan acc sg;Ь
22174;;зачастую;ЗАЧАСТУЮ;ADV -;;;в спортивный стиль _зачастую_ .  ;ю;у;т;с;а;ч;ADV;ЗАЧАСТУЮ;ADV -;Ю
22175;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
22176;;;;;;;;;;;;;;;;;
22177;# sent = 1563;;;;;;;;;;;;;;;;
22178;;Но;НО;CONJ;;;.   _Но_ ... это опять-таки;о;н;;;;;CONJ;НО;CONJ;О
22179;;...;...;PUNCT;;;;;;;;;;PUNCT;;;
22180;;это;ЭТО;SPRO n - nom sg;;; Но ... _это_ опять-таки не совсем;о;т;э;;;;SPRO;ЭТО;S n - nom sg;О
22181;;опять-таки;ОПЯТЬ-ТАКИ;ADV -;;;Но ... это _опять-таки_ не совсем так;и;к;а;т;-;ь;ADV;ОПЯТЬ-ТАКИ;ADV -;И
22182;;не;НЕ;PART;;;... это опять-таки _не_ совсем так .;е;н;;;;;PART;НЕ;PART;Е
22183;;совсем;СОВСЕМ;ADV -;;;это опять-таки не _совсем_ так . ;м;е;с;в;о;с;ADV;СОВСЕМ;ADV -;М
22184;;так;ТАК;ADVPRO;;;опять-таки не совсем _так_ .  ;к;а;т;;;;ADV;ТАК;ADV -;К
22185;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
22186;;;;;;;;;;;;;;;;;
22187;# sent = 1564;;;;;;;;;;;;;;;;
22188;;Они;ОНИ;SPRO pl - - nom;;;.   _Они_ все стильны ,;и;н;о;;;;SPRO;ОНИ;SPRO pl - - nom;И
22189;;все;ВСЕ;SPRO pl nom;;;  Они _все_ стильны , кокетливы;е;с;в;;;;S;ВСЕ;S - - acc pl;Е
22190;;стильны;СТИЛЬНЫЙ;A - - pl brev - -;;; Они все _стильны_ , кокетливы и;ы;н;ь;л;и;т;A;СТИЛЬНЫЙ;A - - pl brev - -;Й
22191;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
22192;;кокетливы;КОКЕТЛИВЫЙ;A - - pl brev - -;;;все стильны , _кокетливы_ и очень женственны;ы;в;и;л;т;е;A;КОКЕТЛИВЫЙ;A - - pl brev - -;Й
22193;;и;И;CONJ;;;стильны , кокетливы _и_ очень женственны .;и;;;;;;CONJ;И;CONJ;И
22194;;очень;ОЧЕНЬ;ADV -;;;, кокетливы и _очень_ женственны . ;ь;н;е;ч;о;;ADV;ОЧЕНЬ;ADV -;Ь
22195;;женственны;ЖЕНСТВЕННЫЙ;A - - pl brev - -;;;кокетливы и очень _женственны_ .  ;ы;н;н;е;в;т;A;ЖЕНСТВЕННЫЙ;A - - pl brev - -;Й
22196;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
22197;;;;;;;;;;;;;;;;;
22198;# sent = 1565;;;;;;;;;;;;;;;;
22199;;И;И;PART;;;.   _И_ , плюс ,;и;;;;;;CONJ;И;CONJ;И
22200;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
22201;;плюс;ПЛЮС;CONJ;;; И , _плюс_ , та аура;с;ю;л;п;;;CONJ;ПЛЮС;CONJ;С
22202;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
22203;;та;ТОТ;APRO nom sg f;;;, плюс , _та_ аура Парижа ,;а;т;;;;;A;ТОТ;A - nom sg plen f -;Т
22204;;аура;АУРА;S f inan nom sg;;;плюс , та _аура_ Парижа , которая;а;р;у;а;;;S;АУРА;S f inan nom sg;А
22205;;Парижа;ПАРИЖ;S m inan gen sg;;;, та аура _Парижа_ , которая делаетих;а;ж;и;р;а;п;S;ПАРИЖ;S m inan gen sg;Ж
22206;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
22207;;которая;КОТОРЫЙ;APRO - nom sg plen f -;;;аура Парижа , _которая_ делаетих необыкновенно привлекательными;я;а;р;о;т;о;APRO;КОТОРЫЙ;A - nom sg plen f -;Й
22208;;делаетих;ДЕЛАЕТИХИЙ;A - - sg brev m -;раздельно;;Парижа , которая _делаетих_ необыкновенно привлекательными .;х;и;т;е;а;л;A;ДЕЛАЕТИХИЙ;A - - sg brev m -;Й
22209;;необыкновенно;НЕОБЫКНОВЕННО;ADV -;;;, которая делаетих _необыкновенно_ привлекательными . ;о;н;н;е;в;о;ADV;НЕОБЫКНОВЕННО;ADV -;О
22210;;привлекательными;ПРИВЛЕКАТЕЛЬНЫЙ;A - ins pl plen - -;;;которая делаетих необыкновенно _привлекательными_ .  ;и;м;ы;н;ь;л;A;ПРИВЛЕКАТЕЛЬНЫЙ;A - ins pl plen - -;Й
22211;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
22212;;;;;;;;;;;;;;;;;
22213;# sent = 1566;;;;;;;;;;;;;;;;
22214;# speaker = Ольга;;;;;;;;;;;;;;;;
22215;# sent = 1567;;;;;;;;;;;;;;;;
22216;;Так что;Так что;CONJ;слитно;;   _Так что_ , ребята ,;о;т;ч; ;к;а;CONJ;Так что;CONJ;о
22217;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
22218;;ребята;РЕБЯТА;S - anim voc pl;;; Так что , _ребята_ , Париж -;а;т;я;б;е;р;S;РЕБЯТА;S - anim nom pl;А
22219;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
22220;;Париж;ПАРИЖ;S m inan nom sg;;;, ребята , _Париж_ - это ваш;ж;и;р;а;п;;S;ПАРИЖ;S m inan nom sg;Ж
22221;;-;-;PUNCT;;;;;;;;;;PUNCT;;;
22222;;это;ЭТО;SPRO n - nom sg;;;, Париж - _это_ ваш город .;о;т;э;;;;SPRO;ЭТО;S n - nom sg;О
22223;;ваш;ВАШ;APRO - nom sg plen m -;;;Париж - это _ваш_ город . ;ш;а;в;;;;APRO;ВАШ;A - nom sg plen m -;Ш
22224;;город;ГОРОД;S m inan nom sg;;;- это ваш _город_ .  ;д;о;р;о;г;;S;ГОРОД;S m inan nom sg;Д
22225;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
22226;;;;;;;;;;;;;;;;;
22227;# sent = 1568;;;;;;;;;;;;;;;;
22228;;Я;Я;SPRO sg 1p - nom;;;.   _Я_ действительно верю ,;я;;;;;;SPRO;Я;SPRO sg 1p - nom;Я
22229;;действительно;ДЕЙСТВИТЕЛЬНО;PART;;;  Я _действительно_ верю , что;о;н;ь;л;е;т;ADV;ДЕЙСТВИТЕЛЬНО;ADV -;О
22230;;верю;ВЕРИТЬ;V ipf praes sg indic - 1p;;; Я действительно _верю_ , что каждому;ю;р;е;в;;;V;ВЕРИТЬ;V ipf praes sg indic - 1p;Ь
22231;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
22232;;что;ЧТО;CONJ;;;действительно верю , _что_ каждому из вас;о;т;ч;;;;CONJ;ЧТО;CONJ;О
22233;;каждому;КАЖДЫЙ;APRO - dat sg plen m -;;;верю , что _каждому_ из вас в;у;м;о;д;ж;а;APRO;КАЖДЫЙ;A - dat sg plen m -;Й
22234;;из;ИЗ;PR;;;, что каждому _из_ вас в своё;з;и;;;;;PR;ИЗ;PR;З
22235;;вас;ВЫ;SPRO pl 2p - gen;;;что каждому из _вас_ в своё время;с;а;в;;;;SPRO;ВЫ;SPRO pl 2p - loc;Ы
22236;;в;В;PR;;;каждому из вас _в_ своё время придётся;в;;;;;;PR;В;PR;В
22237;;своё;СВОЙ;APRO - acc sg plen n inan;;;из вас в _своё_ время придётся познакомиться;ё;о;в;с;;;APRO;СВОЙ;A - acc sg plen n inan;Й
22238;;время;ВРЕМЯ;S n inan acc sg;;;вас в своё _время_ придётся познакомиться с;я;м;е;р;в;;S;ВРЕМЯ;S n inan acc sg;Я
22239;;придётся;ПРИЙТИСЬ;V pf fut sg indic - 3p;;;в своё время _придётся_ познакомиться с этим;я;с;т;ё;д;и;V;ПРИЙТИСЬ;V pf fut sg indic - 3p;Ь
22240;;познакомиться;ПОЗНАКОМИТЬСЯ;V pf - - inf - -;;;своё время придётся _познакомиться_ с этим самым;я;с;ь;т;и;м;V;ПОЗНАКОМИТЬСЯ;V pf - - inf - -;Я
22241;;с;С;PR;;;время придётся познакомиться _с_ этим самым прекрасным;с;;;;;;PR;С;PR;С
22242;;этим;ЭТОТ;APRO - ins sg plen m -;;;придётся познакомиться с _этим_ самым прекрасным городом;м;и;т;э;;;APRO;ЭТОТ;A - dat pl plen - -;Т
22243;;самым;САМЫЙ;APRO ins sg m;;;познакомиться с этим _самым_ прекрасным городом на;м;ы;м;а;с;;A;САМЫЙ;A - ins sg plen m -;Й
22244;;прекрасным;ПРЕКРАСНЫЙ;A - ins sg plen m -;;;с этим самым _прекрасным_ городом на Земле;м;ы;н;с;а;р;A;ПРЕКРАСНЫЙ;A - ins sg plen m -;Й
22245;;городом;ГОРОД;S m inan ins sg;;;этим самым прекрасным _городом_ на Земле .;м;о;д;о;р;о;S;ГОРОД;S m inan ins sg;Д
22246;;на;НА;PR;;;самым прекрасным городом _на_ Земле . ;а;н;;;;;PR;НА;PR;А
22247;;Земле;ЗЕМЛЯ;S f inan loc2 sg;;;прекрасным городом на _Земле_ .  ;е;л;м;е;з;;S;ЗЕМЛЯ;S f inan loc sg;Я
22248;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
22249;# doc = pariskili.2.txt;;;;;;;;;;;;;;;;
